Item Description,Manufacturer Part Number,Name,Package,Designator,Quantity
"CMT-8504-100-SMT (magnetic transducer 8.5mm, 15R coil, 4kHz; pads 3/4 are mechanical dummies)",CMT-8504-100-SMT-TR,CMT-8504-100-SMT,MagneticBuzzer_CUI_CMT-8504-100-SMT,BZ1,1
10uF/25V,CL32B106KBJNNNE,10uF/25V,C_1210_3225Metric,"C1,C4,C11",3
100nF,CL21B104KBCNNNC,100nF,C_0805_2012Metric,"C2,C3,C8,C12,C14",5
22uF,CL21A226KPCLRNC,22uF,C_0805_2012Metric,"C5,C10",2
IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion),IR333-A,IR333-A,LED_D5.0mm_IRGrey,"D1,D2,D3,D4,D5,D6",6
1N4148W (flyback clamp across the buzzer coil),1N4148W-7-F,1N4148W,D_SOD-123,D29,1
Power LED 0603 red (JLC good-stock),APT1608SURCK,Power LED 0603 red,LED_0603_1608Metric,D30,1
2.6A/16V PPTC,MINISMDC260F/16-2,2.6A/16V PPTC,Fuse_1812_4532Metric,F1,1
BATT_IN_2S,B2B-XH-A,BATT_IN_2S,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,J1,1
MOTOR_A_N20_ENCODER,B6B-ZR(LF)(SN),MOTOR_A_N20_ENCODER,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,"J5,J6",2
BATT_IN_XT60 (parallel option -- ONE PACK ONLY),XT60-M,BATT_IN_XT60,AMASS_XT60-M_1x02_P7.20mm_Vertical,J10,1
4.7uH,SRP4020TA-4R7M,4.7uH,L_Bourns_SRP4020TA,L1,1
"Q_PMOS reverse guard (DMP3098L-7: Vgs +/-20V, 2S-safe)",DMP3098L-7,Q_PMOS reverse guard,SOT-23,Q1,1
PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins),PT334-6B,PT334-6B,LED_D5.0mm_IRBlack,"Q2,Q3,Q4,Q5,Q6,Q7",6
BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins),BSS138LT1G,BSS138,SOT-23,"Q16,Q17,Q18",3
MMBT2222A (buzzer low-side driver; Q_NPN_BEC base symbol so ERC checks pins),MMBT2222A-7-F,MMBT2222A,SOT-23,Q34,1
100k,CFR-25JB-52-100K,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"R1,R62,R63,R64,R69",5
47k,CFR-25JB-52-47K,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"R13,R15,R17,R19,R21,R23",6
33,CFR-25JB-52-33R,33,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"R14,R16,R18,R20,R22,R24",6
10k,CFR-25JB-52-10K,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R55,1
220,CFR-25JB-52-220R,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R81,1
1k,CFR-25JB-52-1K,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R82,1
SW_Push,KMR221NGLFS,SW_Push,SW_Push_1P1T_NO_CK_KMR2,"SW1,SW2",2
PWR ALL (PCM12SMTR slide; slide-to-GND = OFF),PCM12SMTR,PWR ALL,SW_SPDT_PCM12,"SW5,SW6",2
AP63203WU-7 (fixed 3.3V 2A buck; AP63200WU base symbol so ERC checks pins),AP63203WU-7,AP63203WU-7,TSOT-23-6,U1,1
TB6612FNG,"TB6612FNG,C,8,EL",TB6612FNG,SSOP-24_5.3x8.2mm_P0.65mm,U2,1
"Seeed XIAO nRF52840 Sense Plus (SKU 102010694): D0-D5 ADC-capable, D6-D10 + 9 Plus pads digital-only. Own onboard IMU/RGB LED/USB-C/reset button.","102010694 (Seeed XIAO nRF52840 Sense Plus -- HAND-SOLDER, NOT part of turnkey SMT assembly)",Seeed XIAO nRF52840 Sense Plus,XIAO-nRF52840-Plus-SMD,U3,1
